#{"t_start": 1657662919.6905906, "env_id": null}
r,l,t
1,685,495.144446
3,576,495.455268
1,811,495.888173
5,483,496.146132
-5,388,496.357775
3,603,496.690243
5,436,496.920281
3,589,497.220534
1,739,497.605052
4,619,498.023831
-1,758,500.039759
-1,812,500.573891
-4,464,500.877206
2,758,502.685602
2,695,503.129238
-2,631,503.531946
-1,723,505.472156
-3,557,505.812831
3,543,506.15132
2,645,507.897199
-1,763,508.422117
-5,435,508.704032
3,576,509.059362
4,495,510.677947
-2,654,511.094459
-2,638,511.494636
-1,716,513.371387
4,543,513.716604
2,652,514.119403
1,713,515.956568
2,647,516.404906
-3,605,516.807589
2,654,517.206315
-5,391,518.761619
4,576,519.11912
1,788,519.61098
-2,633,521.345224
1,775,521.831063
-2,640,522.222054
5,423,523.797821
-1,781,524.357102
-3,635,524.84727
-3,742,526.618288
-5,461,526.923982
-5,498,527.239208
2,628,527.632077
-3,566,529.343534
5,388,529.586713
2,692,530.013264
-2,682,530.440853
-3,674,532.281981
4,554,532.640116
2,644,533.044901
3,761,534.845727
1,795,535.344355
-4,483,535.649832
-4,478,537.324812
1,827,537.824524
-3,549,538.162507
2,662,539.956545
1,757,540.466039
3,573,540.829637
2,640,542.528045
3,612,542.934198
1,852,543.476182
-4,554,545.205451
4,487,545.524912
-5,452,545.806555
-5,392,546.040781
-4,570,546.386894
2,679,548.370652
2,674,548.818088
-4,481,549.111881
-2,679,550.912503
1,712,551.349421
-4,582,551.718245
-3,573,553.469461
-2,714,553.910004
-3,685,554.328523
-4,517,556.019236
3,558,556.400704
-3,685,556.846802
2,700,558.561586
1,752,559.083491
-2,717,559.542683
2,749,561.398937
-4,563,561.758324
-2,652,562.162187
-3,587,562.522702
-3,612,564.289446
2,641,564.696752
2,663,565.181821
-1,745,566.994447
-3,582,567.356868
1,805,567.861942
-1,781,569.769336
-5,419,570.028798
-2,716,570.469005
1,807,572.372294
3,621,572.771731
-4,517,573.087503
1,799,574.874893
4,600,575.250654
5,425,575.519325
5,397,575.771739
-1,778,577.658959
-3,649,578.061583
1,774,579.913254
5,479,580.252891
4,498,580.591056
-2,801,581.16149
2,653,582.967265
1,708,583.449426
2,694,583.898696
-4,499,585.614451
-5,455,585.895512
-2,706,586.32635
-3,598,586.694504
1,832,588.588678
1,693,589.026168
-1,787,590.883595
5,501,591.204724
-4,511,591.534253
4,477,591.838247
-1,784,593.720999
-5,535,594.053801
1,692,594.484791
1,794,596.370674
-2,694,596.830174
-4,504,597.14588
-1,888,599.038219
-1,702,599.488425
-2,758,599.974511
3,588,601.784793
-1,787,602.271622
-3,663,602.681814
1,804,604.587867
-1,718,605.040984
1,735,606.801433
2,645,607.245311
-5,418,607.512055
-3,615,607.900146
2,675,609.733951
