#{"t_start": 1657000094.4394138, "env_id": "SlimeVolley-v0"}
r,l,t
13.89,1889,476.142455
4.98,998,477.946555
2.8,780,478.422587
9.6,1360,480.428705
5.06,1006,481.02408
7.34,1234,482.925118
1.78,678,483.324114
2.48,748,483.761107
2.96,796,485.569304
4.81,881,486.115191
4.79,979,487.93638
8.06,1106,488.575382
1.45,645,490.100379
2.43,743,490.561413
6.61,1161,491.242416
6.51,1151,493.132737
5.55,1055,494.980732
3.74,874,495.516761
5.28,1028,496.117763
2.46,746,497.717752
2.51,751,498.148749
5.12,1012,499.985246
3.83,883,500.493246
0.99,599,500.843261
2.69,769,502.545295
5.8,1080,503.180286
3.55,855,504.899115
7.82,1282,505.656374
11.82,1482,507.725008
5.72,1072,509.604163
9.31,1431,510.449165
0.83,583,512.013318
5.5,1050,512.643336
11.53,1653,514.809101
4.88,988,515.376101
7.1,1110,517.173124
5.56,1056,517.802135
7.7,1270,519.76112
2.51,751,520.19812
4.17,917,521.862335
7.08,1208,522.583363
0.49,549,524.096362
7.29,1229,524.817362
6.52,1152,526.6801
4.01,901,527.216064
3.01,801,528.895068
2.07,707,529.305087
1.43,643,529.683112
3.31,831,531.332294
9.59,1459,533.361236
5.53,1053,533.999236
6.08,1008,535.843275
6.56,1156,536.546499
17.15,2115,538.977133
10.19,1519,541.031185
3.32,832,541.520022
9.3,1330,543.537989
10.75,1575,545.718991
4.09,909,546.244992
13.79,1879,548.520152
10.45,1545,550.561121
13.94,1894,552.83816
4.56,956,553.400179
7.38,1238,555.35019
0.93,593,555.69847
5.5,1050,557.450611
5.0,1000,558.04164
7.86,1286,560.04564
12.85,1685,562.25761
5.46,1046,562.890646
14.21,1921,565.183918
13.97,1897,567.453699
15.13,2013,569.807894
18.25,2325,572.409255
1.68,668,572.801434
9.53,1453,574.879443
26.0,3000,579.084109
15.38,2038,581.372108
13.58,1858,582.470137
11.15,1615,584.878187
10.35,1535,585.642343
10.37,1537,586.382383
7.26,1226,586.976331
6.3,1130,587.524526
9.13,1313,588.158536
14.12,1912,589.085768
13.02,1802,589.957938
6.3,1130,590.506941
14.52,1952,591.452927
3.09,809,591.845926
11.93,1693,592.674204
10.78,1578,593.449489
7.01,1201,594.040463
10.43,1543,594.79973
14.38,1938,595.748766
12.09,1709,596.577741
25.93,2993,598.02434
19.19,2219,599.103732
6.5,1150,599.65921
