#{"t_start": 1658138944.8868062, "env_id": null}
r,l,t
-2,667,8100.479422
-3,590,8100.853207
3,590,8101.228168
-3,603,8101.622448
3,630,8102.017114
2,707,8102.510115
-1,752,8103.007114
-1,829,8103.570116
4,596,8103.969114
-2,629,8104.406114
5,489,8104.740111
3,554,8105.121132
3,575,8105.519128
3,774,8106.040172
-1,746,8106.580173
2,671,8107.012173
2,644,8107.492176
-3,608,8107.866173
-3,603,8108.256171
2,693,8108.710172
1,672,8109.139176
4,496,8109.472173
-4,539,8109.821172
2,625,8110.219171
3,605,8110.612173
3,689,8111.089175
-2,648,8111.520066
-2,665,8111.969067
4,455,8112.254071
2,741,8112.720068
-2,621,8113.125066
1,865,8113.709066
1,786,8114.248069
3,588,8114.644067
3,533,8114.998072
1,762,8115.464149
-2,674,8115.871244
3,612,8116.246034
5,440,8116.507197
4,550,8116.8634
-2,710,8117.321448
-1,736,8117.771895
1,795,8118.265059
2,654,8118.709189
3,594,8119.089181
-1,785,8119.622183
-2,804,8120.162187
3,665,8120.629184
2,726,8121.111185
5,393,8121.373333
-2,658,8121.808508
4,487,8122.135509
2,796,8122.648209
-2,804,8123.171209
-2,702,8123.626207
2,699,8124.116209
2,623,8124.517389
1,797,8125.035387
-5,387,8125.292389
-3,537,8125.688387
-3,580,8126.063515
-2,623,8126.477208
-3,606,8126.859213
1,855,8127.423212
-3,662,8127.871001
4,533,8128.208997
2,704,8128.694206
-1,718,8129.16421
-1,792,8129.678204
-2,646,8130.144031
4,468,8130.45103
4,502,8130.79303
1,727,8131.26203
-3,602,8131.679025
-2,681,8132.135184
-5,398,8132.374941
-3,615,8132.758869
-5,437,8133.024651
-3,638,8150.731186
1,813,8170.74842
-2,660,8187.074161
4,461,8198.748709
1,816,8219.329935
1,771,8238.572525
3,549,8252.207518
1,772,8271.360315
-4,587,8286.048887
2,663,8302.266616
-4,498,8314.58364
1,808,8334.433764
-3,609,8349.722707
1,750,8368.254746
-3,700,8385.665408
-4,575,8399.93912
-1,766,8418.801269
4,510,8431.341645
3,571,8445.475677
-2,703,8462.743155
-1,724,8481.730011
-2,664,8498.710217
1,716,8516.980662
2,710,8535.149994
2,672,8551.928514
-3,548,8565.558072
-1,732,8583.649956
-1,779,8602.881646
-2,657,8619.622271
-3,611,8634.733908
1,752,8653.372172
-3,600,8668.331812
3,619,8684.462901
-1,811,8705.385857
2,781,8725.726745
-1,738,8744.818901
-2,681,8762.550236
4,574,8777.263748
2,620,8793.04868
-2,716,8811.436627
-5,431,8822.502858
-4,502,8835.351007
2,683,8852.626644
4,578,8867.229787
1,772,8887.37355
3,567,8902.114622
-3,577,8917.027075
-4,559,8931.580674
-1,807,8951.61291
3,660,8967.857471
-4,516,8980.569246
-1,770,8999.464404
1,812,9019.940796
-1,738,9038.521469
4,482,9050.596224
-3,594,9065.33752
-1,789,9085.339321
-2,726,9103.529494
-3,618,9119.170457
-1,704,9136.983873
3,533,9151.465419
-2,736,9170.387652
-4,474,9182.765234
3,581,9197.808925
2,702,9218.460647
3,559,9238.539346
-1,761,9268.2123
2,626,9288.83562
3,677,9308.924083
2,811,9333.188193
1,896,9361.553322
-1,728,9380.35751
-2,608,9394.180097
-1,764,9411.551681
2,629,9425.723818
5,459,9436.046479
-2,695,9452.048806
-3,550,9464.245669
-3,558,9476.580086
-3,588,9489.556902
3,614,9505.756581
-4,552,9523.431186
1,762,9544.903525
3,536,9559.054782
-5,408,9570.702993
5,429,9580.859604
-1,808,9602.576493
2,694,9620.468664
-2,687,9638.180816
-1,739,9659.655145
-3,618,9677.233557
3,607,9690.62187
-5,371,9699.06645
-4,492,9711.2773
3,547,9727.132854
2,639,9750.983123
-1,756,9780.191868
1,753,9808.448872
-3,611,9831.807456
3,601,9854.388964
-1,792,9884.103921
1,734,9910.067286
-3,624,9929.236307
3,578,9946.875291
-3,588,9964.83308
2,721,9986.882408
3,632,10005.996421
1,801,10030.187498
-3,647,10049.821574
4,568,10066.847631
1,747,10089.308912
1,768,10112.553907
2,658,10132.496978
3,711,10154.171583
3,588,10172.087939
1,825,10197.103006
2,717,10218.908315
-2,654,10238.713314
-1,731,10261.008661
2,610,10279.486986
-3,544,10296.075044
1,817,10320.971209
4,514,10336.480225
3,550,10353.181225
-2,804,10378.356812
-2,695,10399.32994
5,400,10411.41101
4,467,10425.168525
5,395,10435.486553
-4,611,10451.035274
-3,665,10467.762932
2,722,10485.812192
-1,825,10506.846855
1,708,10524.576806
-5,388,10534.160106
-4,507,10546.836305
-2,624,10563.462326
-1,734,10582.671474
1,746,10601.969105
-3,594,10617.507244
-3,713,10637.417217
1,815,10659.144595
3,690,10677.439711
-2,663,10695.26885
3,595,10711.247305
-1,768,10731.103001
1,784,10751.261479
-2,726,10769.79405
2,738,10788.866478
-4,635,10804.985054
2,803,10825.425789
-5,414,10835.851995
-3,649,10853.992694
-3,607,10855.287693
-1,889,10855.927851
1,884,10856.543853
4,554,10856.934855
1,739,10857.422854
-1,767,10858.24907
-2,778,10858.816069
4,550,10859.166067
-4,540,10859.512068
-3,615,10859.91807
3,686,10860.38207
1,747,10860.933216
4,513,10861.281218
-5,424,10861.569212
1,938,10862.195216
-2,609,10862.588408
-3,601,10862.981409
-2,639,10863.438431
-3,629,10863.876408
1,835,10864.429441
1,871,10865.021405
-2,870,10865.590403
5,387,10865.854404
-3,611,10866.267409
2,635,10866.658404
-2,715,10867.130403
-5,468,10867.470404
-1,788,10867.993433
1,738,10868.485026
4,460,10868.779029
4,472,10869.105026
-1,750,10869.601029
-3,581,10870.018119
5,431,10870.317121
3,604,10870.728335
4,494,10871.047626
1,765,10871.584809
-2,699,10872.066063
1,821,10872.610066
1,758,10873.12664
1,829,10873.658638
2,778,10874.206636
-2,691,10874.705926
-3,594,10875.111923
-2,685,10875.596926
-5,387,10875.882923
2,689,10876.347055
3,594,10876.793233
3,564,10877.185232
-3,676,10877.619233
2,667,10878.066233
1,800,10878.609261
3,626,10879.042233
-3,656,10879.511259
-4,553,10879.877232
-1,837,10880.450235
4,555,10880.833446
5,390,10881.120668
-2,744,10881.607643
-1,725,10882.115638
3,592,10882.529638
4,523,10882.907848
-2,734,10883.393849
-3,684,10883.874848
-3,682,10884.325849
1,825,10884.863846
2,682,10885.317851
2,773,10885.818848
-1,754,10886.335851
-2,682,10886.827848
2,747,10887.303176
-4,555,10887.677179
3,546,10888.059419
-3,606,10888.468418
1,713,10888.971418
-2,636,10889.418424
-2,664,10889.864419
-3,640,10890.35142
-1,807,10890.889421
-2,709,10891.345421
-1,772,10891.899418
-4,533,10892.237421
-2,711,10892.757421
-4,541,10893.129442
2,752,10893.634438
-2,685,10894.10847
-1,923,10894.738441
4,493,10895.062442
4,562,10895.491438
1,857,10896.088456
-4,447,10896.417581
-1,700,10896.920579
3,640,10897.338584
-2,727,10897.798584
-1,780,10898.362579
-1,736,10898.894643
3,601,10899.330611
1,873,10899.917614
-3,637,10900.329647
5,429,10900.629665
-4,554,10915.035633
1,737,10933.827562
3,583,10948.478481
1,779,10969.079183
3,566,10984.240328
2,795,11005.114474
-2,652,11022.258487
-3,588,11038.853982
1,720,11057.768059
-2,733,11077.193583
-2,680,11095.020638
-2,694,11113.161463
1,717,11131.184228
-3,590,11145.984616
-3,537,11159.53225
-3,613,11175.750009
1,773,11195.886763
4,511,11208.989911
1,787,11229.297741
2,687,11247.661158
-4,510,11260.841666
3,632,11277.316351
2,688,11294.896541
3,608,11311.06374
1,686,11329.069174
5,458,11340.965107
3,605,11356.731545
-2,680,11374.393575
5,443,11385.63091
-2,890,11408.461421
-3,579,11423.290287
2,818,11444.649377
-3,588,11459.899667
4,471,11471.984751
5,418,11482.62881
-1,909,11506.358187
4,508,11519.532286
1,761,11539.025296
-1,826,11560.163601
1,729,11578.846836
1,780,11598.620678
-1,807,11619.183079
2,644,11635.595439
-1,824,11657.655897
3,628,11674.536617
-2,725,11694.033488
-1,799,11715.425536
-5,482,11728.008438
2,653,11744.514003
-3,603,11759.780731
3,581,11774.458857
-2,690,11793.579703
4,496,11806.642598
2,632,11823.469858
-1,756,11843.78146
3,523,11857.562671
2,687,11875.503492
1,775,11895.739005
5,438,11907.049589
4,470,11920.240291
-3,617,11936.598169
-1,768,11956.843057
-4,495,11970.16779
-1,791,11990.635338
3,581,12005.48726
1,722,12023.87766
-1,704,12041.867376
-4,500,12056.027447
2,685,12074.021363
1,801,12095.281134
2,630,12112.204014
3,615,12129.025976
5,438,12140.658571
1,695,12158.985182
2,613,12175.142711
3,618,12191.288659
2,763,12211.068334
5,400,12221.33409
-3,598,12236.916399
-3,542,12251.958629
-3,599,12268.10719
-2,732,12287.677449
-4,605,12303.896922
3,619,12319.993437
2,630,12336.048529
-2,753,12355.29759
2,753,12374.644809
