#{"t_start": 1654887123.7000287, "env_id": "SlimeVolley-v0"}
r,l,t
-5,565,378.160745
-5,618,378.935166
-4,654,379.566469
-5,764,380.307986
-5,545,380.890736
-5,452,381.41458
-5,441,381.82122
-5,516,382.312928
-5,582,382.828129
-5,632,383.619256
-5,431,384.03525
-5,541,384.564141
-5,555,385.053999
-4,684,385.855468
-5,600,386.431603
-5,444,386.858424
-5,600,387.460462
-5,591,388.20003
-5,452,388.624764
-5,623,389.225704
-5,645,389.829215
-5,572,390.499546
-5,715,391.171677
-5,505,391.660137
-5,592,392.236298
-5,601,392.963837
-5,468,393.387592
-5,567,393.952486
-5,462,394.388232
-5,872,395.44758
-4,872,396.283607
-5,529,396.806668
-5,543,397.305905
-5,516,397.931149
-5,544,398.429673
-5,755,399.174658
-5,650,399.868533
-5,938,400.844723
-5,681,401.499728
-5,467,401.966921
-4,600,402.533772
-5,637,403.325236
-4,536,403.854705
-5,683,404.516916
-4,515,405.026512
-4,727,405.890544
-5,720,406.574168
-5,513,407.080044
-5,854,407.901282
-5,471,408.430948
-5,498,408.89446
-5,536,409.450394
-5,527,409.908722
-5,436,410.47632
-5,595,411.061891
-4,601,411.680486
-4,761,412.484156
-5,812,413.322209
-5,761,414.019974
-5,632,414.662858
-5,653,415.345907
-5,411,415.821033
-5,855,416.644833
-5,633,417.269042
-5,892,418.316305
-5,515,418.827313
-4,630,419.421379
-5,431,419.850055
-5,666,420.503846
-5,504,421.153671
-5,698,421.816703
-4,906,422.767907
-5,657,423.578464
-5,514,424.096698
-5,537,424.638549
-5,555,425.177283
-3,928,426.267327
-5,574,426.819692
-5,671,427.489307
-5,458,427.960432
-5,538,428.489403
-5,732,429.344152
-5,1042,430.310525
-5,640,430.958105
-5,596,431.591548
-5,516,432.198991
-3,1145,433.266412
-5,649,433.91107
-5,907,434.949844
-5,530,435.469889
-5,563,436.020524
-5,469,436.491405
-3,833,437.353334
-5,875,438.332332
-5,422,438.732502
-5,446,439.219401
-5,579,439.743896
-5,601,440.482728
-3,648,441.169629
-5,448,441.630753
-5,583,442.197404
-5,603,442.936033
-4,701,443.646472
-3,954,444.577025
-5,570,445.312892
-5,831,446.165597
-3,869,446.992127
-5,501,447.509393
-5,1040,448.746845
-4,738,449.493618
-5,563,450.02927
-4,644,450.714209
-5,496,451.236774
-5,525,451.867374
-5,480,452.3555
-5,702,453.067625
-5,553,453.656611
-5,683,454.442924
-5,780,455.183647
-5,572,455.729832
-5,464,456.176822
-5,502,456.836246
-5,592,457.413568
-5,617,458.022514
-5,605,458.639287
-5,633,459.417866
-5,453,459.828607
-5,555,460.391659
-5,823,461.281972
-5,815,462.166039
-5,549,462.679181
-5,470,463.148401
-5,679,463.866078
-3,653,464.649169
-5,632,465.269086
-5,651,465.935389
-5,512,466.486519
-5,532,467.196425
-5,403,467.630468
-5,407,468.07697
-5,447,468.553133
-5,559,469.273535
-5,686,469.949468
-5,639,470.574528
-5,599,471.270409
-5,661,472.075313
-5,572,472.638505
-5,540,473.22743
-5,790,474.093971
-5,540,474.679535
-4,630,475.274085
-5,643,475.914291
-5,735,476.743239
-5,420,477.274014
-5,445,477.725908
-3,826,478.590361
-5,483,479.105658
-5,670,479.87381
-5,579,480.448293
-5,801,481.282265
-5,492,481.849469
-5,501,482.428202
-5,689,483.109354
-5,601,483.736887
-4,671,484.461677
-5,869,485.398224
-5,518,485.89936
-5,538,486.466944
-5,461,486.930017
-5,839,487.97986
-5,465,488.439197
-5,479,488.91442
-5,539,489.416848
-5,644,490.257692
-5,578,490.844668
-5,603,491.486453
-5,473,491.9722
-5,598,492.715581
-4,700,493.397571
-5,578,493.997151
-5,569,494.592617
-4,602,495.326421
-5,452,495.749517
-5,487,496.231731
-5,482,496.754238
-5,615,497.51938
-5,434,497.96378
-5,535,498.526657
-4,852,499.595769
-5,530,500.128306
-5,423,500.542379
-5,559,501.088602
-5,609,501.687877
-4,598,502.411919
-5,474,502.858092
-4,591,503.490566
-5,449,503.951251
-5,596,504.681848
-5,507,505.194387
-5,521,505.707436
-4,597,506.272239
-5,538,506.978431
-5,834,507.811722
-5,514,508.34538
-5,845,509.242408
-5,497,509.839303
-5,470,510.324678
-5,655,510.98647
-5,534,511.56485
-5,709,512.371875
-5,510,512.887399
-5,626,513.56575
-4,637,514.304005
-5,706,515.119918
-5,603,515.730147
-5,655,516.430789
-5,704,517.28607
-5,722,518.02549
-5,548,518.570354
-4,1041,519.62644
-5,641,520.448596
-5,591,521.061171
-5,534,521.57141
-4,610,522.183647
-5,494,522.707315
-4,532,523.399819
-5,522,523.928884
-5,672,524.610734
-5,531,525.200445
-5,404,525.715774
-5,461,526.194626
-5,525,526.752849
-5,692,527.491085
-5,541,528.18118
-5,512,528.675403
-5,678,529.349135
-5,478,529.843693
-5,754,530.710885
-5,692,531.425308
-5,584,532.068377
-5,638,532.76124
-5,766,533.619087
-5,650,534.290349
-4,1117,535.477257
-4,818,536.44992
-5,488,536.923487
-5,619,537.570942
-5,637,538.251697
-5,675,539.02916
-5,448,539.55397
-5,590,540.143101
-5,598,540.785117
-5,429,541.220355
-5,866,542.223155
-5,448,542.654506
-5,571,543.254063
-5,537,543.809328
-4,542,544.52088
-5,635,545.14392
-5,523,545.692545
-5,650,546.450248
-5,475,547.056444
-5,508,547.564225
-4,742,548.344465
-5,464,548.835028
-5,570,549.51194
-5,771,550.266996
-5,522,550.84359
-4,661,551.555351
-5,563,552.234199
-5,636,552.914449
-5,840,553.756486
-5,559,554.487919
-5,530,555.039572
-5,624,555.656554
-5,442,556.140266
-5,658,556.800649
-5,576,557.526388
-5,682,558.235647
-5,498,558.755816
-5,1041,559.982777
-5,698,560.671108
-4,816,561.505261
