x_agent,y_agent,xdot_agent,ydot_agent,x_ball,y_ball,xdot_ball,ydot_ball,x_opponent,y_opponent,xdot_opponent,ydot_opponent
1.74614,0.40717,1.75000,0.06380,-1.17107,1.35306,-1.02304,-1.51528,1.68822,0.30958,0.00000,1.04148
1.24352,0.15081,0.00000,-0.00055,1.00993,1.25752,-1.24571,0.24528,0.20000,0.15363,0.00000,-0.00574
1.56131,0.37492,1.75000,-0.44411,1.87969,0.31049,1.65498,-1.40200,0.20000,0.36990,0.00000,0.83025
0.21283,0.37428,0.00000,0.81367,-0.18661,0.62548,-1.76744,-1.14579,0.48101,0.28149,-1.75000,1.10081
1.05480,0.22704,0.00000,1.27081,0.85426,1.16101,-1.35052,0.27945,0.20000,0.15630,0.00000,-0.00440
1.95595,0.43385,-1.75000,0.35035,-0.89362,1.64104,-1.42580,0.01726,1.51012,0.16442,1.75000,-0.04235
0.75952,0.47352,-1.75000,0.25053,0.69784,0.82593,-1.48813,1.00093,0.20000,0.39417,0.00000,-0.07148
0.20670,0.22302,0.00000,-1.18060,-1.81389,1.03479,0.33586,1.03984,1.81558,0.39208,-1.75000,-0.66404
0.76564,0.31935,0.00000,-0.89477,0.62735,0.53801,-1.46068,-0.66533,0.20000,0.44429,0.00000,-0.37991
1.02334,0.43588,-1.75000,0.55654,0.96810,0.70733,-0.83485,1.99741,0.20000,0.43661,0.00000,-0.44609
1.95222,0.37211,1.75000,-0.73724,2.24290,0.69969,2.05794,-0.45316,0.20000,0.28671,0.00000,-1.01465
2.10948,0.47913,1.75000,0.03105,2.05400,1.02821,0.95250,0.83236,0.20000,0.39349,0.00000,-0.65810
0.85848,0.40451,-1.75000,-0.33377,-0.29081,1.36300,-1.66798,0.94183,1.12774,0.15590,0.00000,0.01825
0.67785,0.33443,-1.75000,-0.01157,-0.70880,0.86537,-0.46371,-2.02061,0.96203,0.44654,0.00000,-0.18575
1.60410,0.28879,1.75000,1.08672,0.00000,1.20000,-0.81336,1.77527,0.26443,0.36622,0.00000,0.81937
