x_agent,y_agent,xdot_agent,ydot_agent,x_ball,y_ball,xdot_ball,ydot_ball
1.60417,0.40420,1.75000,0.71300,-0.99062,1.33784,0.56063,1.05175
1.08333,0.47073,1.75000,-0.21800,-0.13025,1.18440,-0.13955,-1.33972
2.22778,0.47887,0.00000,0.14133,2.27593,0.72961,0.47935,-1.75450
0.20000,0.25833,0.00000,-1.10000,-0.34896,0.71897,-0.44960,1.61662
1.70208,0.15000,1.75000,0.00000,1.48858,1.46980,0.01423,0.06798
0.20000,0.15000,0.00000,0.00000,-0.58425,1.29376,1.09673,0.12157
0.20000,0.31398,0.00000,1.04375,-0.50035,1.12747,0.72135,-1.04455
0.25833,0.46533,0.00000,0.37000,0.00000,1.20000,0.62101,2.04743
0.55000,0.15000,0.00000,0.00000,0.22039,1.51303,-0.53431,0.32364
1.14167,0.42933,1.75000,-0.51200,-0.46821,2.02710,-0.58526,-0.09312
0.22917,0.32758,-1.75000,-0.90400,0.02870,0.85705,-1.97693,0.11389
1.83750,0.43986,0.00000,-0.41400,-0.30423,1.80747,-0.78767,1.07351
1.25833,0.38540,-1.75000,-0.70800,-0.90716,1.59656,-1.13395,-0.63130
0.55000,0.43740,-1.75000,0.56600,0.40713,0.57876,-4.12655,3.47515
1.25000,0.37018,0.00000,0.86000,1.11606,0.60440,-1.13357,1.84490
1.69167,0.45330,-1.75000,-0.36500,1.60641,1.08533,-1.05339,0.36957
1.02500,0.25833,1.75000,-1.10000,-0.00114,1.27499,-0.03408,2.24974
0.20000,0.46137,0.00000,-0.30511,-0.74062,0.70529,0.26745,-2.07929
1.07917,0.43740,0.00000,0.56600,0.66955,1.19104,-0.22373,-1.19132
1.72500,0.37100,0.00000,0.86000,-1.46297,0.66248,-1.53188,-0.99802
0.20000,0.24753,0.00000,-1.12450,-0.18151,0.47045,1.57966,-0.82851
0.20000,0.44740,0.00000,-0.38950,-0.45191,0.56092,-1.97309,-0.43742
0.20000,0.38370,0.00000,0.81100,-1.50857,0.76987,1.89152,0.87241
0.20000,0.25833,0.00000,-1.10000,-1.26774,1.28303,0.05772,0.58326
0.76000,0.32775,1.75000,-0.90400,0.63492,0.92369,1.77739,0.25207
1.35500,0.41853,0.00000,0.66400,1.29498,0.72512,-0.46820,2.04229
