#{"t_start": 1658063674.9395127, "env_id": null}
r,l,t
-2,682,174.086628
2,623,174.230606
-4,473,174.328623
2,648,174.440608
-2,625,174.544626
-2,650,174.65762
-4,483,174.743841
3,542,174.841129
2,722,174.954337
-1,842,175.09669
1,786,175.232738
3,545,175.324706
-2,749,175.452681
1,716,175.567695
-3,602,175.664693
3,590,175.763692
-3,547,175.85766
1,767,175.988695
1,728,176.109784
-3,632,176.218692
-5,448,176.295698
-1,706,176.411654
1,817,176.542682
-4,489,177.026657
2,710,177.707652
2,591,178.407652
2,716,179.067652
-2,675,179.704653
1,709,180.364594
-3,555,180.972591
-1,694,181.628593
-4,490,182.112591
-4,468,182.539592
-1,754,183.277248
1,748,184.068284
-3,570,184.595331
3,594,185.229918
1,725,186.046136
3,639,186.668365
-2,634,187.294354
3,543,187.879881
-2,710,188.546874
1,696,189.332749
-4,543,189.85075
2,710,190.511748
-4,500,191.058272
-2,657,191.711273
-1,754,192.418272
1,857,193.276287
-4,483,193.730795
4,472,194.217793
-1,752,194.971826
-4,506,195.464366
-2,621,196.224434
1,704,196.931437
-1,793,197.719433
3,665,198.372464
-2,703,199.212434
3,572,199.998438
2,686,200.822966
-3,561,201.468967
-2,667,202.396484
-1,751,203.072486
-4,468,203.532488
-2,686,204.246485
-4,508,204.679485
-1,753,205.445483
2,642,205.928483
1,730,206.464485
3,554,206.923483
3,577,207.335485
4,458,207.751485
-1,829,208.535489
-5,469,209.036483
1,827,209.620484
3,549,210.007484
1,748,210.506486
3,554,210.898488
-4,565,211.289482
-4,521,212.018488
-2,757,212.934484
4,453,213.260485
1,773,213.770483
-3,580,214.197483
2,604,214.740485
-1,702,215.270482
-3,574,215.640483
1,711,216.278483
4,507,216.616486
-5,443,216.938483
1,708,217.420488
1,795,218.051487
-2,664,218.666485
-1,840,219.411485
1,740,219.897484
-1,739,220.496484
-2,627,221.001482
3,561,221.389485
-2,693,222.109485
1,712,222.868484
1,716,223.403523
-1,754,224.034482
4,522,224.419485
2,709,225.448485
-3,549,226.051482
2,695,226.551482
-3,643,227.081486
-3,648,227.788486
-2,690,228.496485
1,777,229.411537
2,596,229.886483
3,638,230.677485
1,738,231.636486
-3,582,232.567485
1,789,233.518986
2,678,234.243089
-3,603,235.104315
-2,682,235.886963
3,563,236.541627
-4,467,237.195109
-2,639,238.174281
-3,606,238.845281
-1,808,239.69228
-2,620,240.585866
-3,619,241.504654
3,579,242.41264
4,465,243.105175
1,749,244.431854
-1,841,245.871783
4,469,246.459781
3,559,247.237068
-4,525,247.827499
-2,672,248.684453
-4,526,249.430079
-2,701,250.260237
-4,469,250.837437
-2,693,251.638435
-3,589,252.488451
-2,685,253.275435
4,465,253.821558
1,753,254.764252
-4,472,255.368539
-1,702,256.26589
-2,593,257.083285
-1,781,258.196616
2,634,258.777217
4,479,259.361217
1,789,260.558215
3,568,261.821216
3,593,262.805214
3,602,264.001216
-1,712,265.341928
1,751,267.046198
2,667,268.486675
1,760,269.310067
2,654,269.938633
4,477,270.358267
-4,474,270.993083
2,629,271.620291
-1,827,272.747889
-1,853,274.0659
1,881,275.265378
-2,681,276.200615
4,512,276.919972
2,661,277.833525
-2,626,278.843063
-1,725,279.556391
2,644,280.157608
3,573,280.752239
1,792,281.52534
-2,613,282.127466
1,799,282.820499
1,731,283.52685
3,555,284.08447
-1,747,284.60383
1,879,285.53982
2,747,286.335276
2,668,286.917754
-3,692,287.027127
-4,544,287.12088
-1,780,287.253303
-1,890,287.390283
-5,417,287.452783
-2,701,287.562157
1,781,287.73446
4,468,287.86646
3,677,288.029452
4,459,288.083488
5,367,288.14599
2,672,288.253014
2,742,288.352693
-1,776,288.475052
3,554,288.553166
4,642,288.707487
-3,568,288.833916
1,773,288.980429
-3,624,289.076968
-4,489,289.16098
-4,452,289.234232
-4,461,289.299936
1,712,289.409298
2,649,289.503863
5,420,289.583785
5,445,289.653995
2,765,289.784223
1,737,289.904808
2,667,289.998975
2,732,290.105626
-2,631,290.199377
-2,627,290.293129
2,639,290.386877
2,679,290.480627
-5,373,290.543126
-3,543,290.621263
3,595,290.715002
-2,639,290.808752
3,593,290.886876
3,561,290.986847
-2,597,291.072023
5,380,291.205595
-2,681,291.449592
5,449,291.550636
-4,522,291.669635
-2,738,291.872593
-3,541,292.127595
1,717,292.370856
-2,739,292.51391
2,722,292.711857
-5,502,292.854856
1,733,293.023856
3,565,293.179857
-2,627,293.337855
1,826,293.612871
-1,836,293.921856
-4,507,294.110855
-1,890,294.337893
5,458,294.474871
-1,726,294.607733
-2,715,294.730616
3,654,294.958037
4,513,295.059149
-1,744,295.176823
-4,471,295.244083
-3,562,295.417015
-3,641,295.558785
2,678,295.765804
2,681,295.902037
-1,750,296.022553
1,706,296.140528
-1,751,296.255789
-1,809,296.393304
1,743,296.49095
5,410,296.553447
1,700,296.679712
-4,451,296.742241
2,669,296.855043
3,566,296.926786
4,522,297.004905
5,428,297.08303
-1,805,297.214924
-2,667,297.324314
4,475,297.402432
2,618,297.496179
1,784,297.605523
-3,631,297.699272
3,582,297.808673
4,499,297.886799
2,640,298.060537
4,509,298.145312
2,776,298.254692
2,669,298.364076
1,789,298.524683
2,691,298.656532
-5,415,298.759532
1,815,298.94372
-2,657,299.044523
-2,673,299.16352
3,636,299.630988
-1,837,300.25355
2,631,300.908164
5,415,301.512729
1,787,302.192036
-2,721,302.750086
1,727,303.49159
-5,514,304.022243
-2,750,304.551986
4,501,305.217219
3,675,305.731921
-2,635,306.477367
-3,550,307.051929
1,752,307.907418
-3,529,308.378907
4,571,308.9288
-4,517,309.435
-1,690,310.151309
2,649,310.765176
-2,738,311.305844
3,539,311.904364
-2,785,312.434684
-1,736,313.239796
-1,749,313.995512
3,588,314.639111
3,580,315.474973
-4,510,315.945915
3,589,316.413839
1,777,317.193748
-2,653,317.948794
-1,766,318.828265
-3,617,319.28721
-4,476,319.878254
-4,471,320.390815
1,731,321.199212
-2,664,321.833924
-2,673,322.812078
4,510,323.412309
-2,723,324.208846
4,514,324.904068
-1,693,325.603809
5,412,326.026987
1,843,326.871987
-5,571,327.447262
3,573,328.103129
5,374,328.540523
3,624,329.055575
4,481,329.551535
-1,840,330.359098
2,616,331.00745
2,622,331.713548
-3,635,332.234619
-3,643,333.380618
4,471,334.039617
-2,710,334.987619
-1,803,336.247619
-3,573,336.866675
2,687,337.912448
2,633,338.911134
5,447,339.68737
3,551,340.774142
-2,643,341.727786
-5,384,342.288893
3,603,342.976969
-3,572,343.598217
-1,776,344.288609
-2,691,344.842336
-4,460,345.164646
4,474,345.567182
-4,570,346.109096
-4,518,346.510397
4,466,346.86033
1,788,347.545832
3,609,348.067013
-3,624,348.531568
3,558,348.944911
-1,738,349.688238
-4,469,350.113232
5,428,350.458194
2,704,350.987989
-1,734,351.511422
3,594,352.067983
2,638,352.520895
-4,514,352.942051
2,726,353.532002
-3,617,354.072685
